Run_Source,Test_Name,Test_Type,Execution_Time_Seconds,Execution_Time_Milliseconds,Result
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 4),Standard_Logic,0.6131237,613.1237000000001,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 9),Standard_Logic,0.0209203,20.9203,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 12),Standard_Logic,0.0386233,38.6233,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 11),Standard_Logic,0.0006057,0.6057,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 16),Standard_Logic,0.0005955,0.5955,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 18),Standard_Logic,0.0005326,0.5326000000000001,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 13),Standard_Logic,0.0005844,0.5844,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 17),Standard_Logic,0.0005674,0.5674,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 8),Standard_Logic,0.0005389,0.5389,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 7),Standard_Logic,0.0006839,0.6839,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 15),Standard_Logic,0.0006639,0.6639,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 1),Standard_Logic,0.00062,0.62,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 6),Standard_Logic,0.0007048,0.7048,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 20),Standard_Logic,0.0006629,0.6629,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 19),Standard_Logic,0.0006272,0.6272,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 14),Standard_Logic,0.0006353,0.6353,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 2),Standard_Logic,0.000664,0.664,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 3),Standard_Logic,0.000671,0.671,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 10),Standard_Logic,0.0006551,0.6551,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Delete_ShouldRemoveExistingProduct(runNumber: 5),Standard_Logic,0.0006829,0.6829,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Update_ShouldModifyExistingProduct(runNumber: 11),Standard_Logic,0.0074292,7.429200000000001,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Update_ShouldModifyExistingProduct(runNumber: 3),Standard_Logic,0.0009003,0.9003,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Update_ShouldModifyExistingProduct(runNumber: 17),Standard_Logic,0.0005788,0.5788,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Update_ShouldModifyExistingProduct(runNumber: 10),Standard_Logic,0.0006286,0.6286,Pass
test_results.xml,SeminarDemo.Tests.ProductRepositoryTests.Update_ShouldModifyExistingProduct(runNumber: 2),Standard_Logic,0.0006478,0.6478,Pass
